Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,01-V700,145.700000,-,0.600000,TSQL,88.5,88.5,023,NN,NFM,5.00,,,,,,
2,01-U150,439.150000,-,7.600000,Tone,88.5,88.5,155,NN,NFM,5.00,,,,,,
3,01-U439,439.225000,-,7.600000,TSQL,88.5,88.5,023,NN,NFM,5.00,,,,,,
4,01-U2875,439.287500,-,7.600000,TSQL,88.5,88.5,023,NN,NFM,5.00,,,,,,
5,03-U650,145.650000,-,0.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
6,03-U425,439.425000,-,7.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
7,05-V650,145.650000,-,0.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
8,05-U400,439.400000,-,7.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
9,05-U425,439.425000,-,7.600000,TSQL,88.5,88.5,023,NN,NFM,5.00,,,,,,
10,06-V650,145.650000,-,0.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
11,06-V675,145.675000,-,0.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
12,06-V775,145.775000,-,0.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
13,06-U175,439.175000,-,7.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
14,06-U250,439.250000,-,7.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
15,06-U400,439.400000,-,7.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
16,07-V650,145.650000,-,0.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
17,07-V700,145.700000,-,0.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
18,07-U275,439.275000,-,7.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
19,07-U375,439.375000,-,7.600000,TSQL,88.5,88.5,023,NN,NFM,5.00,,,,,,
20,07-U425,439.425000,-,7.600000,TSQL,88.5,88.5,023,NN,NFM,5.00,,,,,,
21,09-V650,145.650000,-,0.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
22,09-V775,145.775000,-,0.600000,TSQL,67.0,67.0,023,NN,NFM,5.00,,,,,,
23,09-U150,439.150000,-,7.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
24,09-U200,439.200000,-,7.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
25,09-U225,439.225000,-,7.600000,TSQL,88.5,88.5,023,NN,NFM,5.00,,,,,,
26,09-U275,439.275000,-,7.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
27,09-U375,439.375000,-,7.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
28,09-U400,439.400000,-,7.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
29,09-U400,439.400000,-,7.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
30,09-U425,439.425000,-,7.600000,TSQL,67.0,67.0,023,NN,NFM,5.00,,,,,,
31,10-V650,145.650000,-,0.600000,Tone,114.8,114.8,023,NN,NFM,5.00,,,,,,
32,10-V675,145.675000,-,0.600000,TSQL,77.0,77.0,023,NN,NFM,5.00,,,,,,
33,10-V750,145.750000,-,0.600000,TSQL,67.0,67.0,023,NN,NFM,5.00,,,,,,
34,10-U1625,439.162500,-,7.600000,TSQL,141.3,141.3,023,NN,NFM,5.00,,,,,,
35,10-U225,439.225000,-,7.600000,TSQL,88.5,88.5,023,NN,NFM,5.00,,,,,,
